CODIGO;name;COD_P;description
FA10016654;Glucose;630;Glucose 400 mg/ml Sol inj Fr 500 ml IV
FA10016661;Glucose;630;Glucose 400 mg/ml Sol inj Fr 250 ml IV
FA10016679;Carbocisteína;281;Carbocisteína 20 mg/ml Xar Fr 250 ml
FA10016693;Dexametasona;425;DEXAmetasona 0.5 mg Comp
FA10016704;Sulfato de bário;1039;Sulfato de bário 1000 mg/ml Susp oral Barrica 2000
FA10016711;Minoxidil;83;Minoxidil 20 mg/g Gel Fr 100 ml
FA10016729;Mirtazapina;813;Mirtazapina 30 mg Comp orodisp
FA10016743;Lidocaína + Adrenalina;1569;Lidocaína 54 mg/1.8 ml + Adrenalina 0.036 mg/1.8 m
FA10016768;Ranitidina;101;Ranitidina 300 mg Comp eferv
FA10016775;Ranitidina;101;Ranitidina 150 mg Gran eferv Saq
FA10016782;Atorvastatina;194;Atorvastatina 40 mg Comp
FA10016790;Albendazol;151;Albendazol 400 mg Comp
FA10016825;Aminoácidos + Glucose + Lípidos;2029;A.A. 8.25 g/l N + Glucose 125 g/l + Lípidos 30 g/l
FA10016832;Aminoácidos + Electrólitos + Glucose;2024;A.A. 8.3 g/l N + Glucose 175 g/l + Electrólitos So
FA10016840;Fibrinogénio humano;2306;Fibrinogénio humano 1000 mg Pó sol inj Fr IV
FA10016896;Rifabutina;984;Rifabutina 150 mg Cáps
FA10016907;Oximetazolina;883;Oximetazolina 0.25 mg/ml Got nas, sol Fr 15 ml
FA10016921;Dextrano;429;Dextrano 40 100 mg/ml + Glucose 50 mg/ml Sol inj F
FA10016939;Dextrano;429;Dextrano 40 100 mg/ml + Cloreto de sódio 9 mg/ml S
FA10016946;Neomicina;842;Neomicina 250 mg Cáps
FA10016953;Loratadina;120;Loratadina 10 mg Comp
FA10016985;Glucose;630;Glucose 50 mg/ml Sol inj Fr 500 ml IV
FA10016992;Glucose;630;Glucose 100 mg/ml Sol inj Fr 1000 ml IV
FA10017005;Ácido ascórbico;1168;Ácido ascórbico 1000 mg Comp eferv
FA10017012;Sulbutiamina;1031;Sulbutiamina 200 mg Comp
FA10017020;Heparina sódica;646;Heparina sódica 5000 U.I./0.2 ml Sol inj Ser 0.2 m
FA10017037;Heparina sódica;646;Heparina sódica 5000 U.I./0.2 ml Sol inj Fr 0.2 ml
FA10017044;Zalcitabina;1154;Zalcitabina 0.375 mg Comp
FA10017051;Nebivolol;838;Nebivolol 5 mg Comp
FA10017069;Carbonato de cálcio + Lactogluconato de cálcio;1391;Carbonato de cálcio 150 mg + Lactogluconato de cál
FA10017076;Mepivacaína + Noradrenalina;1581;Mepivacaína 36 mg/1.8 ml + Noradrenalina 0.018 mg/
FA10017083;Sertindol;2228;Sertindol 12 mg Comp
FA10017119;Clobutinol;359;Clobutinol 60 mg/ml Sol oral Fr 15 ml
FA10017126;Clobutinol;359;Clobutinol 60 mg/ml Sol oral Fr 25 ml
FA10017133;Cefuroxima;31;Cefuroxima 125 mg Comp
FA10017140;Sinvastatina;1019;Sinvastatina 40 mg Comp
FA10017158;Sertralina;1012;Sertralina 100 mg Comp
FA10017165;Cefalexina;291;Cefalexina 500 mg/5 ml Pó susp oral Fr 100 ml
FA10017180;Cefuroxima;31;Cefuroxima 250 mg Pó sol inj Fr IM IV
FA10017215;Hidrotalcite;1715;Hidrotalcite 500 mg Comp mast
FA10017222;Ibuprofeno;71;Ibuprofeno 200 mg Gran Saq
FA10017230;Iloprost;673;Iloprost 0.1 mg/1 ml Sol inj Fr 1 ml IV
FA10017254;Lactitol;720;Lactitol 667 mg/ml Sol oral Fr 200 ml
FA10017286;Insulina humana;686;Insulina humana 100 U.I./ml Acção curta Sol inj Ca
FA10017293;Insulina humana;686;Insulina humana 100 U.I./ml Acção curta Sol inj Fr
FA10017304;Io-hexol;694;Io-hexol 647 mg/ml Sol inj Fr 100 ml IA IT IV
FA10017311;Lidocaína;745;Lidocaína 2 mg/ml Sol inj Fr 500 ml IV
FA10017329;Tosilato de bretílio;1105;Tosilato de bretílio 4 mg/ml Sol inj Fr 250 ml IV
FA10017336;Multivitaminas + Ácido fólico;2011;Multivitaminas + Ácido fólico Pó sol inj Fr IV
FA10017343;Desfluorano;419;DESflurano Líq inal vapo Fr 240 ml
FA10017350;Fosfolípidos;2031;Fosfolípidos 25 mg/ml Susp inst endotraq Fr 8 ml
FA10017368;Estriol;512;Estriol 1 mg Comp
FA10017375;Carbocisteína;281;Carbocisteína 50 mg/ml Xar Fr 125 ml
FA10017440;Carbonato de cálcio;282;Carbonato de cálcio 500 mg Pastilha
FA10017464;Ácido hialurónico;1173;Ácido hialurónico 25 mg/2.5 ml Sol inj Ser 2.5 ml
FA10017507;Hidrotalcite;1715;Hidrotalcite 1000 mg/10 ml Susp oral Saq 10 ml
FA10017514;Granissetrom;634;Granissetrom 1 mg Comp
FA10017521;Felodipina + Ramipril;2246;Felodipina 5 mg + Ramipril 5 mg Comp LP
FA10017539;Bromexina;17;Bromexina 1.6 mg/ml Xar Fr 100 ml
FA10017546;Loratadina;120;Loratadina 10 mg Comp eferv
FA10017553;Oxcarbazepina;880;Oxcarbazepina 300 mg Comp
FA10017560;Oxcarbazepina;880;Oxcarbazepina 600 mg Comp
FA10017585;Complexo hidróxido férrico-polimaltose;1245;Complexo hidróxido férrico-polimaltose 357 mg/5 ml
FA10017592;Flutamida;61;Flutamida 250 mg Comp
FA10017603;Levetiracetam;1207;LeveTIRACETAM 250 mg Comp
FA10017610;Indometacina;72;Indometacina 1 mg/ml Col, sol Fr 5 ml
FA10017628;Sinvastatina;1019;Sinvastatina 10 mg Comp
FA10017642;Carbonato de magnésio + Hidróxido de alumínio + Ácido algínico;1637;Carbonato de magnésio 40 mg + Hidróxido de alumíni
FA10017650;Aminoácidos + Electrólitos + Glucose;2024;A.A. 8.3 g/l N + Glucose 175 g/l + Electrólitos So
FA10017667;Progesterona;951;Progesterona 40 mg/g Gel vag Aplic 2.6 g
FA10017674;Progesterona;951;Progesterona 80 mg/g Gel vag Aplic 2.6 g
FA10017699;Levotiroxina sódica;744;LevoTIROXINA sódica 0.025 mg Comp
FA10017700;Losartan;1717;Losartan 100 mg Comp
FA10017717;Cefuroxima;31;Cefuroxima 250 mg Pó susp oral Saq
FA10017724;Pantoprazol;892;Pantoprazol 40 mg Comp GR
FA10017731;Aceponato de metilprednisolona;134;Aceponato de metilprednisolona 1 mg/ml Sol cut Fr
FA10017749;Carbocisteína + Sobrerol;1387;Carbocisteína 50 mg/ml + Sobrerol 8 mg/ml Xar Fr 5
FA10017756;Carbocisteína + Sobrerol;1387;Carbocisteína 50 mg/ml + Sobrerol 8 mg/ml Xar Fr 2
FA10017763;Topiramato;1101;Topiramato 25 mg Comp
FA10017770;Topiramato;1101;Topiramato 200 mg Comp
FA10017820;Tramadol;111;Tramadol 100 mg/2 ml Sol inj Fr 2 ml IM IV
FA10017838;Fluoreto de sódio + Fluorofosfato de sódio;1535;Fluoreto de sódio 2.5 mg/g + Fluorofosfato de sódi
FA10017845;Fluoreto de sódio + Fluorofosfato de sódio;1535;Fluoreto de sódio 2.5 mg/g + Fluorofosfato de sódi
FA10017852;Fluoreto de sódio + Fluorofosfato de sódio;1535;Fluoreto de sódio 2.5 mg/g + Fluorofosfato de sódi
FA10017860;Fluoreto de sódio + Fluorofosfato de sódio;1535;Fluoreto de sódio 2.5 mg/g + Fluorofosfato de sódi
FA10017877;Fenticonazol;552;Fenticonazol 20 mg/ml Sol pulv cut Fr 15 ml
FA10017934;Timolol;1082;Timolol 2.5 mg/ml Col, sol Fr 3 ml
FA10017941;Oxatomida;878;Oxatomida 2.5 mg/ml Susp oral Fr 100 ml
FA10017973;Cefradina;306;Cefradina 250 mg/5 ml Pó susp oral Fr 200 ml
FA10017980;Cefradina;306;Cefradina 500 mg/5 ml Pó susp oral Fr 200 ml
FA10017998;Amoxicilina;8;Amoxicilina 500 mg/5 ml Pó susp oral Fr 75 ml
FA10018000;Amoxicilina;8;Amoxicilina 500 mg/5 ml Pó susp oral Fr 150 ml
FA10018018;Amoxicilina;8;Amoxicilina 1250 mg/5 ml Pó susp oral Saq
FA10018025;Amoxicilina;8;Amoxicilina 500 mg Pó sol inj Fr IV
FA10018032;Fenobarbital;543;Fenobarbital 30 mg/2 ml Sol inj Fr 2 ml IM IV
FA10018040;Ampicilina;176;Ampicilina 50 mg/ml Xar Fr 200 ml
FA10018057;Ampicilina;176;Ampicilina 100 mg/ml Xar Fr 200 ml
FA10018096;Fluocortolona + Lidocaína;1534;Fluocortolona 1 mg/g + Lidocaína 20 mg/g Cr rect B
FA10018107;Ibuprofeno;71;Ibuprofeno 200 mg Pó sol oral Saq
FA10018114;Nicardipina;846;Nicardipina 20 mg Comp
FA10018121;Dextrano 70 + Cloreto de sódio;1429;Dextrano 70 60 mg/ml + Cloreto de sódio 9 mg/ml So
FA10018139;Nitroglicerina;860;Nitroglicerina 15 mg/24 h Sist transd
FA10018160;Cefadroxil;290;Cefadroxil 500 mg Pó susp oral Saq
FA10018178;Indometacina;72;Indometacina 75 mg Cáps LP
FA10018192;Halometasona;640;Halometasona 0.5 mg/g Pom Bisn 60 g
FA10018203;Glucose;630;Glucose 300 mg/ml Sol inj Fr 1000 ml IV
FA10018210;Lidocaína;745;Lidocaína 4 mg/ml Sol inj Fr 500 ml IV
FA10018235;Cilazapril;335;Cilazapril 0.5 mg Comp
FA10018242;0;0;Mitomicina 40 mg Pó sol inj Fr IV IVesical
FA10018250;Vancomicina;112;Vancomicina 500 mg Pó sol inj Fr IV
FA10018267;Alprazolam;4;Alprazolam 3 mg Comp LM
FA10018281;Temozolomida;1058;Temozolomida 5 mg Cáps
FA10018299;Granissetrom;634;Granissetrom 2 mg Comp
FA10018317;Carbonato de magnésio + Carbonato de sódio + Ácido algínico;1638;Carbonato de magnésio + Carbonato de sódio + Ácido
FA10018324;Carbonato de magnésio + Carbonato de sódio + Ácido algínico;1638;Carbonato de magnésio + Carbonato de sódio + Ácido
FA10018331;Carbonato de magnésio + Carbonato de sódio + Ácido algínico;1638;Carbonato de magnésio + Carbonato de sódio + Ácido
FA10018349;Sulfato de magnésio;1040;Sulfato de magnésio 2000 mg/10 ml Sol inj Fr 10 ml
FA10018395;Glucose + Cloreto de sódio;2379;Glucose 50 mg/ml + Cloreto de sódio 3.3 mg/ml Sol
FA10018406;Cefepiroma;303;Cefepiroma 500 mg Pó sol inj Fr IV
FA10018420;Idarrubicina;667;Idarrubicina 20 mg Pó sol inj Fr IV
FA10018445;Lisinopril;74;Lisinopril 10 mg Comp
FA10018452;Carbonato de magnésio + Carbonato de sódio + Ácido algínico;1638;Carbonato de magnésio + Carbonato de sódio + Ácido
FA10018460;Perindopril + Indapamida;2206;Perindopril 4 mg + Indapamida 1.25 mg Comp
FA10018477;Carbocisteína;281;Carbocisteína 20 mg/ml Sol oral Fr 125 ml
FA10018502;Oxerrutinas;1807;Oxerrutinas 500 mg Pó sol oral Saq
FA10018510;Oxerrutinas;1807;Oxerrutinas 1000 mg Pó sol oral Saq
FA10018527;Aminoácidos + Glucose;2028;A.A. 8.3 g/l N + Glucose 175 g/l Sol inj Fr 1000 m
FA10018534;Benzilpenicilina benzatínica;223;Benzilpenicilina benzatínica 0.6 M.U.I. Pó susp in
FA10018573;Pilocarpina + Timolol;1607;Pilocarpina 20 mg/ml + Timolol 5 mg/ml Col, sol Fr
FA10018598;Estriol;512;Estriol 2 mg Comp
FA10018623;Amoxicilina + Ácido clavulânico;9;Amoxicilina 1000 mg + Ácido clavulânico 100 mg Pó
FA10018648;Penfluridol;900;Penfluridol 20 mg Comp
FA10018662;Cefadroxil;290;Cefadroxil 100 mg/ml Pó susp oral Fr 60 ml
FA10018670;Cefadroxil;290;Cefadroxil 100 mg/ml Pó susp oral Fr 100 ml
FA10018694;Midodrina;807;Midodrina 10 mg/ml Sol oral Fr 100 ml
FA10018705;Sertindol;2228;Sertindol 20 mg Comp
FA10018712;Imidapril;1896;Imidapril 5 mg Comp
FA10018720;Valeriana;1287;Valeriana 45 mg Comp
FA10018737;Pipazetato;1227;Pipazetato 10 mg Sup
FA10018751;Cefaclor;289;Cefaclor 500 mg Cáps
FA10018769;Eritromicina;501;Eritromicina 500 mg Comp
FA10018776;Nifedipina;88;Nifedipina 20 mg/ml Sol oral Fr 100 ml
FA10018826;Nordazepam;865;Nordazepam 2.5 mg Comp
FA10018833;Glucose + Cloreto de sódio;2379;Glucose 10 mg/ml + Cloreto de sódio 7.2 mg/ml Sol
FA10018840;Glucose + Cloreto de sódio;2379;Glucose 10 mg/ml + Cloreto de sódio 7.2 mg/ml Sol
FA10018865;Glucose + Cloreto de sódio;2379;Glucose 33 mg/ml + Cloreto de sódio 3 mg/ml Sol in
FA10018872;Frutose;599;Frutose 50 mg/ml Sol inj Fr 250 ml IV
FA10018880;Frutose;599;Frutose 50 mg/ml Sol inj Fr 500 ml IV
FA10018897;Nortriptilina;868;Nortriptilina 25 mg Comp
FA10018908;Sulfadiazina + Trimetoprim;1815;Sulfadiazina 50 mg/ml + Trimetoprim 10 mg/ml Susp
FA10018915;Nifedipina;88;Nifedipina 20 mg/ml Sol oral Fr 90 ml
FA10018930;Mononitrato de isossorbida;73;Mononitrato de isossorbida 40 mg Comp LP
FA10018947;Cefaclor;289;Cefaclor 500 mg Comp LM
FA10018961;Aminoácidos + Glucose;2028;A.A. 8.3 g/l N + Glucose 175 g/l Sol inj Fr 1500 m
FA10018986;Óxido de zinco + Ácido bórico + Ácido salicílico;1653;Óxido de zinco 520 mg/g + Ácido bórico 50 mg/g + Á
FA10018993;Cefadroxil;290;Cefadroxil 1000 mg Comp
FA10019013;Cefalexina;291;Cefalexina 500 mg/5 ml Pó susp oral Fr 200 ml
FA10019020;Ampicilina;176;Ampicilina 250 mg Cáps
FA10019052;Hidroclorotiazida + Amilorida;6;Hidroclorotiazida 50 mg + Amilorida 5 mg Comp
FA10019077;Felbamato;533;Felbamato 120 mg/ml Susp oral Fr 230 ml
FA10019084;Benzidamina;222;Benzidamina 30 mg/g Gel Bisn 30 g
FA10019091;Tolcapona;2234;Tolcapona 100 mg Comp
FA10019102;Tolcapona;2234;Tolcapona 200 mg Comp
FA10019127;Finasterida;558;Finasterida 1 mg Comp
FA10019134;Telmisartan;1723;Telmisartan 40 mg Comp
FA10019166;Moexipril;1719;Moexipril 15 mg Comp
FA10019198;Albumina humana;152;Ioversol 678 mg/ml Sol inj Ser 50 ml IV
FA10019223;Clindamicina;40;Clindamicina 300 mg/2 ml Sol inj Fr 2 ml IM IV
FA10019248;Estradiol;508;Estradiol 1 mg/g Gel Bisn 50 g
FA10019270;Sucralfato;103;Sucralfato 1000 mg Pó oral Saq
FA10019294;Nicotina;849;Nicotina 14 mg/24 h Sist transd
FA10019369;Aminoácidos + Electrólitos + Glucose;2024;A.A. 9.4 g/l N + Glucose 100 g/l + Electrólitos So
FA10019376;Piroxicam;98;Piroxicam 20 mg Comp
FA10019383;Piroxicam;98;Piroxicam 20 mg Comp eferv
FA10019426;Aminoácidos + Electrólitos + Glucose;2024;A.A. 9.4 g/l N + Glucose 100 g/l + Electrólitos So
FA10019433;Aminoácidos + Electrólitos + Glucose;2024;A.A. 9.4 g/l N + Glucose 100 g/l + Electrólitos So
FA10019458;Diclofenac;46;Diclofenac 75 mg Comp LP
FA10019465;Cefaclor;289;Cefaclor 125 mg/5 ml Pó susp oral Fr 75 ml
FA10019472;Cefaclor;289;Cefaclor 125 mg/5 ml Pó susp oral Fr 150 ml
FA10019480;Dexibuprofeno;428;Dexibuprofeno 200 mg Comp
FA10019497;Isotretinoína;711;Isotretinoína 20 mg Cáps
FA10019515;Eprosartan;1712;Eprosartan 300 mg Comp
FA10019522;Eprosartan;1712;Eprosartan 400 mg Comp
FA10019530;Teofilina;1061;Teofilina 300 mg Cáps LP
FA10019547;Nicotina;849;Nicotina 2 mg Pastilha
FA10019604;Fenilbutirato de sódio;1714;Fenilbutirato de sódio 500 mg Comp
FA10019611;Lidocaína;745;Lidocaína 4 mg/ml Sol inj Fr 250 ml IV
FA10019629;Aminoácidos + Electrólitos + Glucose;2024;A.A. 9.4 g/l N + Glucose 100 g/l + Electrólitos So
FA10019700;Midazolam;81;Midazolam 5 mg/1 ml Sol inj Fr 1 ml IM IV
FA10019718;Flufenazina;566;Flufenazina, decanoato 50 mg/0.5 ml Sol inj Fr 0.5
FA10019725;Nadifloxacina;2224;Nadifloxacina 10 mg/g Cr Bisn 25 g
FA10019732;Cloreto de potássio;378;Cloreto de potássio 74.5 mg/ml Sol inj Fr 20 ml IV
FA10019796;Bupivacaína;263;Bupivacaína 5 mg/2 ml Sol inj Fr 2 ml IM SC
FA10019807;Bupivacaína;263;Bupivacaína 25 mg/10 ml Sol inj Fr 10 ml IM SC
FA10019814;Oxibutinina;93;Oxibutinina 5 mg Comp
FA10019821;Bupivacaína;263;Bupivacaína 20 mg/4 ml Sol inj Fr 4 ml Epidural
FA10019846;Midazolam;81;Midazolam 50 mg/10 ml Sol inj Fr 10 ml IM IV
FA10019853;Ácido salicílico + Ácido láctico;1829;Ácido salicílico 200 mg/g + Ácido láctico 240 mg/g
FA10019860;Vitaminas do complexo B;1882;Complexo B Xar Fr 100 ml
FA10019878;Ácido ascórbico;1168;Ácido ascórbico 500 mg Comp
FA10019885;Ácido ascórbico;1168;Ácido ascórbico 100 mg/2 ml Sol inj Fr 2 ml IM IV
FA10019892;Ácido ascórbico;1168;Ácido ascórbico 500 mg/2 ml Sol inj Fr 2 ml IM IV
FA10019903;Bupivacaína;263;Bupivacaína 10 mg/2 ml Sol inj Fr 2 ml IM SC
FA10019910;Bupivacaína;263;Bupivacaína 50 mg/10 ml Sol inj Fr 10 ml IM SC
FA10019999;Adrenalina;149;aDRENALina 0.1 mg/1 ml Sol inj Fr 1 ml ICardíaca I
FA10020001;Hidrogenoaspartato de magnésio;1260;Hidrogenoaspartato de magnésio 100 mg Pó sol oral
FA10020019;Hidrogenoaspartato de magnésio;1260;Hidrogenoaspartato de magnésio 300 mg Pó sol oral
FA10020026;Hidrogenoaspartato de magnésio;1260;Hidrogenoaspartato de magnésio 500 mg Pó sol oral
FA10020033;Mercaptamina;1214;Mercaptamina 150 mg Cáps
FA10020058;Cefazolina;25;Cefazolina 1000 mg Pó sol inj Fr IM IV
FA10020108;Naltrexona;86;Naltrexona 25 mg Cáps
FA10020122;Candesartan;276;Candesartan 8 mg Comp
FA10020130;Imunoglobulina humana contra a hepatite B;677;Imunoglobulina humana contra a hepatite B 500 U.I.
FA10020154;Hidroxietilamido + Cloreto de sódio;2035;Hidroxietilamido 60 mg/ml + Cloreto de sódio 9 mg/
FA10020179;Hidroxietilamido + Cloreto de sódio;2035;Hidroxietilamido 100 mg/ml + Cloreto de sódio 9 mg
FA10020186;Hidroxietilamido + Cloreto de sódio;2035;Hidroxietilamido 100 mg/ml + Cloreto de sódio 9 mg
FA10020193;Hidroxietilamido + Cloreto de sódio;2035;Hidroxietilamido 100 mg/ml + Cloreto de sódio 9 mg
FA10020204;Hidroxietilamido + Cloreto de sódio;2035;Hidroxietilamido 100 mg/ml + Cloreto de sódio 9 mg
FA10020243;Água para preparações injectáveis;1186;Água para preparações injectáveis Sol inj Fr 2 ml
FA10020250;Água para preparações injectáveis;1186;Água para preparações injectáveis Sol inj Fr 1 ml
FA10020275;Glicerofosfato de sódio;2110;Glicerofosfato de sódio 216 mg/ml Sol inj Fr 20 ml
FA10020290;Manitol;763;Manitol 100 mg/ml Sol inj Fr 250 ml IV
FA10020332;Sene;1932;Sene 250 mg/g + 750 mg/g Chá med Saq
FA10020389;Carbocisteína;281;Carbocisteína 25 mg/ml Xar Fr 100 ml
FA10020396;Ropivacaína;999;Ropivacaína 2 mg/ml Sol inj Fr 100 ml Epidural
FA10020439;Glimepirida;621;Glimepirida 2 mg Comp
FA10020446;Iodopovidona;699;Iodopovidona 100 mg/ml Sol cut Fr 10 ml
FA10020453;Tiocolquicosido;1086;Tiocolquicosido 4 mg Cáps
FA10020485;Bicalutamida;235;Bicalutamida 150 mg Comp
FA10020492;Sulfato de bário;1039;Sulfato de bário 1000 mg/ml Susp rect Fr 600 ml
FA10020503;Propofol;99;Propofol 10 mg/ml Emul inj Fr 100 ml IV
FA10020528;Felbamato;533;Felbamato 120 mg/ml Susp oral Fr 250 ml
FA10020535;Felbamato;533;Felbamato 120 mg/ml Susp oral Fr 450 ml
FA10020574;Fenoterol;546;Fenoterol 0.5 mg/2 ml Sol inal neb Fr 2 ml
FA10020581;Cefadroxil;290;Cefadroxil 500 mg Cáps
FA10020600;Bicarbonato de sódio + Carbonato de cálcio + Carbonato de magnésio;1368;Bicarbonato de sódio 64 mg + Carbonato de cálcio 5
FA10020649;Carbonato de cálcio + Colecalciferol;1389;Carbonato de cálcio 1500 mg + Colecalciferol 400 U
FA10020670;Electrólitos;1897;Sol hemodi Cloreto de potássio 5.2 mg/ml Fr 1000 m
FA10020688;Captopril + Hidroclorotiazida;22;Captopril 50 mg + Hidroclorotiazida 25 mg Comp
FA10020713;Electrólitos;1897;Oligoelementos Adulto Sol inj Fr 10 ml IV
FA10020720;Electrólitos;1897;Oligoelementos Adulto Sol inj Fr 210 ml IV
FA10020738;Fentanilo;550;Fentanilo 0.05 mg/ml Sol inj Fr 2 ml IV
FA10020745;Cefradina;306;Cefradina 500 mg Pó sol inj Fr IM IV
FA10020752;Imiglucerase;674;Imiglucerase 200 U Pó sol inj Fr IV
FA10020784;Fluorouracilo;59;Fluorouracilo 50 mg/ml Sol inj Fr 5 ml IV
FA10020791;Electrólitos;1897;Oligoelementos Adulto Sol inj Fr 40 ml IV
FA10020802;Sibutramina;1015;Sibutramina 10 mg Cáps
FA10020810;Electrólitos;1897;Sol hemodi Cloreto de potássio 5.2 mg/ml Fr 5000 m
FA10020859;Lidocaína;745;Lidocaína 50 mg/5 ml Sol inj Fr 5 ml IV SC
FA10020866;Lidocaína;745;Lidocaína 50 mg/5 ml Sol inj Fr 20 ml IV SC
FA10020880;Carbonato de cálcio;282;Carbonato de cálcio 1000 mg Comp
FA10020909;Cefazolina;25;Cefazolina 500 mg Pó sol inj Fr IM
FA10020916;Cefazolina;25;Cefazolina 500 mg Pó sol inj Fr IV
FA10020923;Pancreatina;890;Pancreatina 25000 U.I. Cáps LP
FA10016241;Ropinirol;998;Ropinirol 0.5 mg Comp
FA10016259;Desirudina;420;Desirudina 15 mg Pó sol inj Fr SC
FA10016309;Isoniazida + Pirazinamida + Rifampicina;1568;Isoniazida 50 mg + Pirazinamida 300 mg + Rifampici
FA10016316;Isoniazida + Rifampicina;2210;Isoniazida 100 mg + Rifampicina 150 mg Comp
FA10016323;Cloreto de cálcio + Cloreto de potássio + Cloreto de sódio;2620;Ringer Sol inj Fr 1000 ml IV
FA10016330;Cloreto de cálcio + Cloreto de potássio + Cloreto de sódio;2620;Ringer Sol inj Fr 250 ml IV
FA10016348;Cloreto de cálcio + Cloreto de potássio + Cloreto de sódio;2620;Ringer Sol inj Fr 100 ml IV
FA10016355;Cloreto de cálcio + Cloreto de potássio + Cloreto de sódio;2620;Ringer Sol inj Fr 50 ml IV
FA10016362;Cloreto de cálcio + Cloreto de potássio + Cloreto de sódio;2620;Ringer Sol inj Fr 500 ml IV
FA10016370;Dopamina;472;Dopamina 0.8 mg/ml Sol inj Fr 250 ml IV
FA10016387;Dopamina;472;Dopamina 1.6 mg/ml Sol inj Fr 500 ml IV
FA10016394;Tramadol;111;Tramadol 100 mg/ml Sol oral Fr 30 ml
FA10016412;Electrólitos + Glucose;1898;Sol DPCA Glucose 15 mg/ml Sac duplo stay safe 3000
FA10016420;Electrólitos + Glucose;1898;Sol DPCA Glucose 22.7 mg/ml Sac 1000 ml
FA10016437;Sene;1932;Sene 250 mg/g + 750 mg/g Chá med Fr 175 g
FA10016444;Sevelâmero;1013;Sevelâmero 403 mg Cáps
FA10016451;Insulina lispro;687;Insulina lispro 100 U.I./ml Acção interm Susp inj
FA10023809;Iodopovidona;699;Iodopovidona 130 mg/g Gel Bisn 30 g
FA10023816;Azelastina;202;Azelastina 1 mg/ml Sol pulv nas Fr 5 ml
FA10023823;Cefuroxima;31;Cefuroxima 125 mg Pó susp oral Saq
FA10023848;Adenosina;147;Adenosina 3 mg/ml Sol inj Fr 10 ml IV
FA10023855;Amoxicilina;8;Amoxicilina 250 mg/5 ml Pó susp oral Fr 75 ml
FA10023862;Io-hexol;694;Io-hexol 647 mg/ml Sol inj Fr 50 ml IA IT IV
FA10023870;Pentamidina;902;Pentamidina 300 mg Pó sol inj Fr IM IV Inalatória
FA10023912;Cefixima;298;Cefixima 20 mg/ml Pó susp oral Fr 60 ml
FA10023920;Dopamina;472;Dopamina 1.6 mg/ml Sol inj Fr 250 ml IV
FA10023937;Clobutinol;359;Clobutinol 60 mg/ml Sol oral Fr 20 ml
FA10023944;Bromexina;17;Bromexina 2 mg/ml Sol oral Fr 30 ml
FA10023951;Tramadol;111;Tramadol 100 mg/ml Sol oral Fr 100 ml
FA10023969;Guaifenesina;636;Guaifenesina 1.333 mg/ml Xar Fr 180 ml
FA10023976;Pipazetato;1227;Pipazetato 2 mg/ml Xar Fr 125 g
FA10023990;Clindamicina;40;Clindamicina 300 mg Cáps
FA10024028;Veraliprida;1138;Veraliprida 100 mg Cáps
FA10024035;Diclofenac;46;Diclofenac 75 mg/3 ml Sol inj Fr 3 ml IM
FA10024042;Codergocrina;391;Codergocrina 1 mg/ml Sol oral Fr 30 ml
FA10024050;Cefedinir;294;Cefedinir 300 mg Cáps
FA10024074;Azitromicina;204;Azitromicina 250 mg Comp
FA10024081;Ácido salicílico;1181;Ácido salicílico 100 mg/ml Sol cut Fr 100 ml
FA10024100;Cloro-hexidina;383;Cloro-hexidina 2.5 mg Impl comp
FA10024188;Hidrocortisona;653;Hidrocortisona 10 mg/g Cr Bisn 30 g
FA10024195;Iodopovidona;699;Iodopovidona 100 mg/ml Sol cut Fr 50 ml
FA10024206;Flunitrazepam;571;Flunitrazepam 1 mg Comp
FA10024213;Electrólitos;1897;Sol hemof Lactato 7.567 mg/ml
FA10024220;Fluoreto de sódio + Fluorofosfato de sódio;1535;Fluoreto de sódio 2.5 mg/g + Fluorofosfato de sódi
FA10024238;Estradiol;508;Estradiol 0.6 mg/g Gel Fr 80 g
FA10024252;Nabumetona;122;Nabumetona 1000 mg Comp mast
FA10024284;Fluticasona + Salmeterol;1795;Fluticasona 250 µg/dose + Salmeterol 25 µg/dose Su
FA10024291;Glimepirida;621;Glimepirida 4 mg Comp
FA10024310;Sulfato de bário;1039;Sulfato de bário 985.2 mg/g Pó susp oral Fr 340 g
FA10024327;Estradiol;508;Estradiol 1 mg Comp
FA10024334;Cefaclor;289;Cefaclor 125 mg/5 ml Pó susp oral Fr 60 ml
FA10024341;Iodopovidona;699;Iodopovidona 100 mg/ml Sol cut Fr 5 ml
FA10024359;Ropivacaína;999;Ropivacaína 2 mg/ml Sol inj Fr 200 ml Epidural
FA10024380;Fluoreto de sódio + Fluorofosfato de sódio;1535;Fluoreto de sódio 2.5 mg/g + Fluorofosfato de sódi
FA10024398;Gramicidina + Neomicina + Polimixina B;1542;Gramicidina + Neomicina + Polimixina B Col, sol Fr
FA10024409;Metoclopramida;799;Metoclopramida 100 mg/5 ml Sol inj Fr 5 ml IM IV
FA10024430;Nadifloxacina;2224;Nadifloxacina 10 mg/g Cr Bisn 10 g
FA10024455;Cefatrizina;293;Cefatrizina 50 mg/ml Pó susp oral Fr 60 ml
FA10024470;Nafazolina + Tetracaína;1586;Nafazolina 0.5 mg/ml + Tetracaína 5 mg/ml Col, sol
FA10024494;Electrólitos + Glucose;1898;Polielectrol + Glucose 50 mg/ml Sol inj Fr 1000 ml
